Bug ID,Module,Issue Description,Severity,Reporter,Date Found,Status
ADM-01,Admin,Net Revenue miscalculates by subtracting all-time refunds.,High,Shazid,26 Jan 2026,Fixed
ADM-02,Admin,Modifying a trips departure time does not send notification emails.,High,Efaj,14 Dec 2025,Fixed
ADM-03,Admin,Admin dashboard route table sorts alphabetically instead of by revenue.,Low,Nirjan,01 Jan 2026,Fixed
ADM-04,Admin,Deleting an active trip throws 500 error instead of failing gracefully.,Medium,Aronno,03 Jan 2026,Fixed
ADM-05,Admin,Creating a new trip via admin allows selecting past departure dates.,Low,Shazid,21 Feb 2026,Fixed
ADM-06,Admin,Pending Refunds counter doesnt update unless the page is hard refreshed.,Medium,Ayon,17 Feb 2026,Fixed
ADM-07,Admin,Create Trip form doesnt clear data after successful submission.,Low,Nirjan,11 Dec 2025,Fixed
ADM-08,Admin,Admin name is hardcoded regardless of logged-in user.,Low,Nirjan,20 Feb 2026,Fixed
ADM-09,Admin,Adding a new Bus route fails without a trailing space in the city name.,Medium,Aronno,23 Dec 2025,Fixed
ADM-10,Admin,Report generation for monthly revenue fails if dataset exceeds 10,000 records.,High,Shazid,07 Mar 2026,Fixed
ADM-11,Admin,Exporting reports to CSV includes duplicate trip entries.,Medium,Efaj,18 Jan 2026,Fixed
AUTH-01,Authentication,Login button on homepage is unresponsive on mobile devices.,High,Efaj,29 Jan 2026,Fixed
AUTH-02,Authentication,Password reset link expires immediately upon delivery.,Critical,Nirjan,30 Nov 2025,Fixed
AUTH-03,Authentication,Email verification success page loops back to login indefinitely.,Medium,Efaj,22 Jan 2026,Fixed
AUTH-04,Authentication,User remains logged in after password is changed from another device.,High,Arefin,12 Jan 2026,Fixed
AUTH-05,Authentication,Sign-up fails silently when a phone number with country code is used.,Medium,Ayon,19 Feb 2026,Fixed
AUTH-06,Authentication,Reward points do not sync between devices until logout/login.,Low,Aronno,21 Dec 2025,Fixed
AUTH-07,Authentication,Changing email address throws a 500 error instead of 400.,Medium,Arefin,22 Jan 2026,Fixed
AUTH-08,Authentication,Signup form accepts empty space strings as valid passwords.,High,Ayon,12 Dec 2025,Fixed
AUTH-09,Authentication,User session expires prematurely when switching between mobile data and Wi-Fi.,Medium,Arefin,06 Mar 2026,Fixed
AUTH-10,Authentication,Remember Me option does not persist login after browser restart.,Low,Efaj,03 Feb 2026,Fixed
BOT-01,AI Chatbot,AI chatbot provides outdated trip information if scraping cache is stale.,Medium,Aronno,02 Mar 2026,Fixed
BOT-02,AI Chatbot,Chatbot fails to escalate conversation to human support after repeated queries.,Low,Nirjan,26 Feb 2026,Fixed
